backbone,timing,tone,n,fpr_mean,fpr_sd,epc_mean,epc_sd,welfare_mean,half_life_mean,reach_mean
surrogate-cautious,early,aggressive_debunking,200,0.5474166666666667,0.1605676131825056,0.18116666666666667,0.12188394128177248,-117.05,10.76,2.125
surrogate-cautious,early,empathetic_nudge,200,0.5106666666666667,0.16854916756606614,0.2245,0.1315724383473352,-121.925,10.5,2.195
surrogate-cautious,late,aggressive_debunking,200,0.6760833333333334,0.12189845638211216,0.10966666666666666,0.0773723981503302,-64.46,6.94,2.215
surrogate-cautious,late,empathetic_nudge,200,0.6694166666666667,0.12607746127806793,0.12383333333333332,0.09081967456815483,-64.17,6.875,2.17
surrogate-cautious,none,none,200,0.7829166666666667,0.0946272699182005,0.03141666666666667,0.059124864323223024,48.89,,2.145
surrogate-conformist,early,aggressive_debunking,200,0.6824166666666666,0.1295872145519034,0.12775,0.09968231923609054,-120.37,11.0,2.175
surrogate-conformist,early,empathetic_nudge,200,0.6734166666666667,0.11387663523026986,0.13083333333333333,0.09732247363754278,-121.005,10.99,2.195
surrogate-conformist,late,aggressive_debunking,200,0.73075,0.09596984305552833,0.077,0.06046442258601308,-56.435,7.0,2.17
surrogate-conformist,late,empathetic_nudge,200,0.733,0.08352507254876791,0.07366666666666666,0.05855986166395561,-53.68,7.0,2.165
surrogate-conformist,none,none,200,0.7806666666666666,0.07181619320046709,0.015083333333333332,0.02597068634853025,59.83,,2.18
surrogate-cost-averse,early,aggressive_debunking,200,0.7229166666666668,0.11706008683904578,0.021416666666666667,0.02474760928394495,-54.235,10.995,2.18
surrogate-cost-averse,early,empathetic_nudge,200,0.7454999999999999,0.12252815626918967,0.020416666666666666,0.02691247160447233,-50.22,11.0,2.18
surrogate-cost-averse,late,aggressive_debunking,200,0.79,0.08364264204911206,0.014083333333333335,0.018310668188633583,-15.985,7.0,2.165
surrogate-cost-averse,late,empathetic_nudge,200,0.797,0.08681600327969857,0.015,0.021462444313565445,-16.32,7.0,2.18
surrogate-cost-averse,none,none,200,0.8039166666666666,0.06063541954874723,0.0008333333333333333,0.004006555209335005,71.645,,2.2
surrogate-defiant,early,aggressive_debunking,200,0.6295833333333334,0.131578034540899,0.16433333333333333,0.10529053686076834,-133.51,11.0,2.2
surrogate-defiant,early,empathetic_nudge,200,0.6174166666666667,0.12562848701794813,0.17833333333333332,0.10647648456057068,-132.69,10.995,2.175
surrogate-defiant,late,aggressive_debunking,200,0.6810833333333334,0.11277522324122331,0.1225,0.08397159260156041,-78.39,7.0,2.19
surrogate-defiant,late,empathetic_nudge,200,0.6835,0.10906677376281224,0.12416666666666666,0.08293455675119746,-79.505,6.99,2.175
surrogate-defiant,none,none,200,0.7364166666666666,0.09872268402808214,0.06541666666666666,0.07618297458732994,17.31,,2.195
