outcome,factor,level,reference,stratum,n_treat,n_control,mean_treat,mean_control,ate,ci_low,ci_high,cohens_d,p_value,p_holm,significant
cumulative_fpr,intervention,any intervention,no intervention,all models,3200,800,0.6776458333333334,0.7739791666666668,-0.09633333333333338,-0.10444296875000002,-0.08837812500000007,-0.715764657494782,4.1867077490846515e-110,1.2560123247253954e-109,True
cumulative_fpr,timing,late entry,early entry,all models,1600,1600,0.7194166666666666,0.6358750000000001,0.08354166666666651,0.07431223958333333,0.09311536458333321,0.6075095199067022,3.724825130380334e-63,7.449650260760668e-63,True
cumulative_fpr,tone,aggressive debunking,empathetic nudge,all models,1600,1600,0.6767500000000001,0.6785416666666666,-0.0017916666666665249,-0.011656249999999927,0.008271874999999885,-0.012466115066698471,0.724353343775482,0.724353343775482,False
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cautious,800,200,0.5967083333333333,0.779,-0.18229166666666674,-0.1998749999999999,-0.16501822916666664,-1.1898077525499255,3.735847463798664e-67,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-conformist,800,200,0.7009166666666666,0.7805833333333334,-0.07966666666666677,-0.09212604166666667,-0.06716614583333327,-0.7645314952756792,1.1328285804022647e-30,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cost-averse,800,200,0.7628958333333332,0.8041666666666667,-0.04127083333333348,-0.053126041666666755,-0.029498958333333426,-0.40065183261497606,1.8722653647637103e-11,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-defiant,800,200,0.6500625,0.7321666666666666,-0.08210416666666664,-0.09873072916666664,-0.06547864583333321,-0.6699980760317596,5.306547306517366e-20,,
cumulative_fpr,timing,late entry,early entry,surrogate-cautious,400,400,0.6691666666666666,0.52425,0.14491666666666658,0.12470729166666665,0.16458750000000003,0.9837458529870158,2.8692267980535513e-39,,
cumulative_fpr,timing,late entry,early entry,surrogate-conformist,400,400,0.73,0.6718333333333334,0.05816666666666659,0.04366666666666663,0.07250104166666665,0.5439063116201049,4.3514760118652755e-14,,
cumulative_fpr,timing,late entry,early entry,surrogate-cost-averse,400,400,0.7950833333333333,0.7307083333333334,0.06437499999999985,0.05012395833333331,0.07841875,0.6085388534802306,4.752108447606055e-17,,
cumulative_fpr,timing,late entry,early entry,surrogate-defiant,400,400,0.6834166666666667,0.6167083333333333,0.06670833333333337,0.04916666666666647,0.08400104166666672,0.5427817686980502,4.639091132706162e-14,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cautious,400,400,0.6043333333333333,0.5890833333333333,0.015249999999999986,-0.007001041666666782,0.03775208333333336,0.09295422131542025,0.1886185804521894,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-conformist,400,400,0.699625,0.7022083333333333,-0.002583333333333271,-0.018377083333333464,0.012333333333333196,-0.023307760054147197,0.7415387276440094,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,400,400,0.7522916666666666,0.7735000000000001,-0.021208333333333496,-0.03650104166666675,-0.006083333333333327,-0.19265691628559312,0.006529926716229942,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-defiant,400,400,0.65075,0.649375,0.001375000000000015,-0.015624999999999892,0.01900208333333332,0.010795848899845997,0.8785789041254785,,
cumulative_epc,intervention,any intervention,no intervention,all models,3200,800,0.10836979166666667,0.030791666666666665,0.07757812500000001,0.07202552083333334,0.083141015625,0.7865387563032652,2.713115198424729e-144,8.139345595274187e-144,True
cumulative_epc,timing,late entry,early entry,all models,1600,1600,0.083125,0.13361458333333334,-0.05048958333333334,-0.057624999999999996,-0.04340625000000001,-0.48932455961793975,3.3032522530947834e-42,6.606504506189567e-42,True
cumulative_epc,tone,aggressive debunking,empathetic nudge,all models,1600,1600,0.10523958333333333,0.11150000000000002,-0.006260416666666685,-0.013822916666666657,0.0010325520833333256,-0.058958944056193174,0.09541375495476632,0.09541375495476632,False
cumulative_epc,intervention,any intervention,no intervention,surrogate-cautious,800,200,0.1634375,0.035333333333333335,0.12810416666666669,0.11572864583333331,0.14025052083333336,1.1591413395438055,6.885351854720495e-69,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-conformist,800,200,0.10360416666666668,0.017583333333333333,0.08602083333333335,0.0788328125,0.09308333333333335,1.0999563154853342,1.668597994939398e-96,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-cost-averse,800,200,0.017687500000000002,0.0011666666666666668,0.016520833333333335,0.014832812499999997,0.01825,0.7864640282274404,2.727401072444566e-67,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-defiant,800,200,0.14875000000000002,0.06908333333333333,0.07966666666666669,0.06641562500000002,0.09229166666666666,0.8229355601955135,2.65338275593429e-28,,
cumulative_epc,timing,late entry,early entry,surrogate-cautious,400,400,0.120375,0.2065,-0.086125,-0.10170833333333335,-0.07070833333333332,-0.7762623000510054,5.496670451599829e-26,,
cumulative_epc,timing,late entry,early entry,surrogate-conformist,400,400,0.07604166666666667,0.13116666666666668,-0.05512500000000001,-0.06654166666666665,-0.043958333333333335,-0.6742299807342071,2.4792333767319912e-20,,
cumulative_epc,timing,late entry,early entry,surrogate-cost-averse,400,400,0.014166666666666666,0.021208333333333336,-0.00704166666666667,-0.010249999999999999,-0.0038749999999999982,-0.30441418016361005,1.8604233207976554e-05,,
cumulative_epc,timing,late entry,early entry,surrogate-defiant,400,400,0.12191666666666666,0.17558333333333337,-0.05366666666666671,-0.06745937500000002,-0.04000000000000001,-0.5526254315763873,1.7202395270080998e-14,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-cautious,400,400,0.15116666666666664,0.17570833333333333,-0.024541666666666684,-0.04062604166666666,-0.008457291666666693,-0.20726086761032478,0.0034455061735780028,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-conformist,400,400,0.10666666666666667,0.10054166666666667,0.0061250000000000054,-0.00570833333333333,0.01816770833333334,0.07101814952186593,0.3150608444490817,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,400,400,0.018125,0.017249999999999998,0.0008750000000000008,-0.002292708333333337,0.004166666666666666,0.03740062513666012,0.5966605002678297,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-defiant,400,400,0.145,0.15250000000000002,-0.007500000000000034,-0.021626041666666672,0.006376041666666644,-0.07448101840618085,0.2920593585953345,,
