backbone,timing,tone,n,fpr_mean,fpr_sd,epc_mean,epc_sd,welfare_mean,half_life_mean,reach_mean
surrogate-cautious,early,aggressive_debunking,30,0.5777777777777777,0.14130842692421303,0.11888888888888888,0.05391445852276846,-143.03333333333333,10.933333333333334,2.066666666666667
surrogate-cautious,early,empathetic_nudge,30,0.5322222222222223,0.19913285834985878,0.15611111111111112,0.1392015637527585,-110.26666666666667,10.433333333333334,2.2
surrogate-cautious,late,aggressive_debunking,30,0.6555555555555556,0.11153177075439873,0.09888888888888889,0.06807891146649103,-108.43333333333334,7.0,1.8666666666666667
surrogate-cautious,late,empathetic_nudge,30,0.635,0.11441589124148084,0.10555555555555556,0.05893910964913229,-103.16666666666667,7.0,2.2333333333333334
surrogate-cautious,none,none,30,0.7155555555555555,0.09437567927068563,0.04111111111111111,0.03148110585006163,-19.7,,1.9666666666666666
surrogate-conformist,early,aggressive_debunking,30,0.573888888888889,0.18526585088588235,0.19944444444444445,0.14367130251830126,-164.06666666666666,10.9,2.1
surrogate-conformist,early,empathetic_nudge,30,0.5888888888888889,0.12273490522426242,0.1811111111111111,0.10073801739238343,-174.76666666666668,11.0,2.033333333333333
surrogate-conformist,late,aggressive_debunking,30,0.6661111111111111,0.1136711777624182,0.09777777777777777,0.05884151929852657,-109.2,6.966666666666667,1.7333333333333334
surrogate-conformist,late,empathetic_nudge,30,0.6144444444444445,0.14905406289460724,0.11277777777777778,0.07449489341100322,-106.63333333333334,6.933333333333334,2.2
surrogate-conformist,none,none,30,0.6366666666666667,0.10535471920249966,0.043333333333333335,0.03598637460328732,-24.933333333333334,,2.5
surrogate-cost-averse,early,aggressive_debunking,30,0.6155555555555556,0.1392325250825699,0.032777777777777774,0.025702144957723695,-97.33333333333333,11.0,2.3
surrogate-cost-averse,early,empathetic_nudge,30,0.645,0.14344889754507195,0.04277777777777778,0.040984842851357214,-106.26666666666667,10.966666666666667,2.1333333333333333
surrogate-cost-averse,late,aggressive_debunking,30,0.6922222222222222,0.10851958642830155,0.02333333333333333,0.022994252155351953,-72.7,7.0,2.033333333333333
surrogate-cost-averse,late,empathetic_nudge,30,0.6988888888888888,0.08753032680068076,0.02277777777777778,0.02294560172603029,-67.66666666666667,7.0,2.066666666666667
surrogate-cost-averse,none,none,30,0.6938888888888889,0.11171626393267611,0.0011111111111111111,0.004228468861707707,6.666666666666667,,2.1333333333333333
surrogate-defiant,early,aggressive_debunking,30,0.58,0.12467582485262325,0.16777777777777778,0.0775502967840221,-158.43333333333334,10.966666666666667,2.1
surrogate-defiant,early,empathetic_nudge,30,0.5294444444444444,0.13099116209353812,0.20555555555555555,0.08822790643452129,-174.03333333333333,10.933333333333334,2.2
surrogate-defiant,late,aggressive_debunking,30,0.6183333333333334,0.09257388061244655,0.1272222222222222,0.06843675007753487,-111.56666666666666,7.0,2.1666666666666665
surrogate-defiant,late,empathetic_nudge,30,0.62,0.11349548913344464,0.14666666666666667,0.07736067689402618,-130.5,7.0,2.066666666666667
surrogate-defiant,none,none,30,0.6505555555555556,0.0842459605240705,0.08277777777777778,0.05094571773771553,-52.4,,2.2333333333333334
