outcome,factor,level,reference,stratum,n_treat,n_control,mean_treat,mean_control,ate,ci_low,ci_high,cohens_d,p_value,p_holm,significant
cumulative_fpr,intervention,any intervention,no intervention,all models,480,120,0.6742361111111111,0.7794444444444444,-0.10520833333333324,-0.1254175347222224,-0.08385329861111103,-0.7482824122967873,1.2402944115285292e-19,3.7208832345855877e-19,True
cumulative_fpr,timing,late entry,early entry,all models,240,240,0.720486111111111,0.6279861111111111,0.09249999999999992,0.06694444444444447,0.11784895833333318,0.6460759257009943,5.675813962652171e-12,1.1351627925304341e-11,True
cumulative_fpr,tone,aggressive debunking,empathetic nudge,all models,240,240,0.6763194444444445,0.6721527777777777,0.004166666666666763,-0.022916666666666696,0.031180555555555656,0.027686483022803726,0.7614375992124355,0.7614375992124355,False
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cautious,120,30,0.5797222222222221,0.7683333333333333,-0.18861111111111117,-0.23722569444444444,-0.1397222222222222,-1.1236064810351238,8.770754019269838e-11,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-conformist,120,30,0.6969444444444444,0.7883333333333333,-0.09138888888888896,-0.1298611111111112,-0.05138541666666665,-0.7899804055454205,4.7457544012089225e-05,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cost-averse,120,30,0.7595833333333333,0.8016666666666665,-0.04208333333333325,-0.0686145833333335,-0.012500000000000067,-0.47395655843848,0.005998515387890024,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-defiant,120,30,0.6606944444444445,0.7594444444444446,-0.09875000000000012,-0.13875347222222226,-0.05666666666666664,-0.758178299909709,1.5953389589425944e-05,,
cumulative_fpr,timing,late entry,early entry,surrogate-cautious,60,60,0.6616666666666666,0.49777777777777776,0.16388888888888886,0.10666666666666658,0.2205624999999999,1.0202868989156713,1.4204104749644562e-07,,
cumulative_fpr,timing,late entry,early entry,surrogate-conformist,60,60,0.7380555555555556,0.6558333333333333,0.08222222222222231,0.04165972222222219,0.12194444444444441,0.7270575235298898,0.00011534129530033512,,
cumulative_fpr,timing,late entry,early entry,surrogate-cost-averse,60,60,0.7875000000000001,0.7316666666666667,0.0558333333333334,0.023881944444444296,0.0872222222222222,0.623548047229121,0.000840644785933304,,
cumulative_fpr,timing,late entry,early entry,surrogate-defiant,60,60,0.6947222222222221,0.6266666666666667,0.06805555555555542,0.02055555555555566,0.11417361111111099,0.5077244858200998,0.006075012799441886,,
