backbone,timing,tone,n,fpr_mean,fpr_sd,epc_mean,epc_sd,welfare_mean,half_life_mean,reach_mean
surrogate-cautious,early,aggressive_debunking,30,0.49111111111111116,0.17107577880725344,0.25666666666666665,0.13565507307349298,-131.46666666666667,10.566666666666666,2.2666666666666666
surrogate-cautious,early,empathetic_nudge,30,0.49944444444444447,0.15898886279540383,0.23444444444444443,0.1360311360947508,-123.6,10.766666666666667,2.1333333333333333
surrogate-cautious,late,aggressive_debunking,30,0.6383333333333333,0.14163454673061301,0.1522222222222222,0.10308770708097684,-72.33333333333333,6.666666666666667,2.2666666666666666
surrogate-cautious,late,empathetic_nudge,30,0.6527777777777778,0.1143098006455574,0.14777777777777779,0.08596236070800392,-79.26666666666667,6.933333333333334,2.1666666666666665
surrogate-cautious,none,none,30,0.7666666666666667,0.1064041309370072,0.035,0.06799678829467466,43.7,,2.2
surrogate-conformist,early,aggressive_debunking,30,0.6627777777777778,0.13445528913546184,0.1361111111111111,0.10863867961060242,-114.5,11.0,2.2
surrogate-conformist,early,empathetic_nudge,30,0.6483333333333333,0.11483371285992373,0.15055555555555555,0.09320633121628322,-133.36666666666667,11.0,2.1666666666666665
surrogate-conformist,late,aggressive_debunking,30,0.745,0.07843659127329994,0.057222222222222216,0.046047479522449114,-39.5,7.0,2.1
surrogate-conformist,late,empathetic_nudge,30,0.73,0.0967280819570018,0.07888888888888888,0.07029403670599668,-52.86666666666667,7.0,2.2666666666666666
surrogate-conformist,none,none,30,0.7877777777777778,0.09874047151597946,0.025555555555555554,0.04728922449683577,52.7,,2.1333333333333333
surrogate-cost-averse,early,aggressive_debunking,30,0.7516666666666667,0.10607504753151074,0.02222222222222222,0.03371429808367045,-53.1,11.0,2.1333333333333333
surrogate-cost-averse,early,empathetic_nudge,30,0.7583333333333333,0.09735486299440313,0.02222222222222222,0.026743185236191798,-26.166666666666668,11.0,2.1
surrogate-cost-averse,late,aggressive_debunking,30,0.788888888888889,0.07196387627931333,0.012222222222222223,0.015119785655328935,-9.133333333333333,7.0,2.2333333333333334
surrogate-cost-averse,late,empathetic_nudge,30,0.7866666666666667,0.07586032739206079,0.015000000000000001,0.01925330244847397,-3.7666666666666666,7.0,2.2
surrogate-cost-averse,none,none,30,0.8038888888888889,0.06531434941957373,0.0022222222222222222,0.009522441062056098,70.53333333333333,,2.2
surrogate-defiant,early,aggressive_debunking,30,0.6205555555555555,0.13544897197918157,0.18833333333333335,0.09580771771598758,-148.93333333333334,10.966666666666667,2.1666666666666665
surrogate-defiant,early,empathetic_nudge,30,0.6494444444444445,0.14273487287130907,0.16666666666666666,0.12074164178651325,-118.3,11.0,2.1333333333333333
surrogate-defiant,late,aggressive_debunking,30,0.6727777777777778,0.1184577889587949,0.13499999999999998,0.09215907453505101,-76.43333333333334,6.933333333333334,2.4
surrogate-defiant,late,empathetic_nudge,30,0.6944444444444444,0.1072410302524369,0.12000000000000001,0.08003830500578604,-74.86666666666666,7.0,2.1666666666666665
surrogate-defiant,none,none,30,0.7511111111111111,0.11106704106867024,0.061111111111111116,0.06799444046088446,22.166666666666668,,2.2333333333333334
