outcome,factor,level,reference,stratum,n_treat,n_control,mean_treat,mean_control,ate,ci_low,ci_high,cohens_d,p_value,p_holm,significant
cumulative_fpr,intervention,any intervention,no intervention,all models,480,120,0.6708680555555555,0.7748611111111111,-0.1039930555555556,-0.12524305555555548,-0.08128385416666684,-0.7427067219508896,1.1164256638161263e-17,3.349276991448379e-17,True
cumulative_fpr,timing,late entry,early entry,all models,240,240,0.7125694444444444,0.6291666666666667,0.08340277777777771,0.05756944444444445,0.108126736111111,0.5849961642468683,3.53984940500339e-10,7.07969881000678e-10,True
cumulative_fpr,tone,aggressive debunking,empathetic nudge,all models,240,240,0.6677083333333333,0.6740277777777777,-0.006319444444444322,-0.03340451388888889,0.019376736111111008,-0.042540123540647456,0.6409011312345334,0.6409011312345334,False
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cautious,120,30,0.5723611111111111,0.7666666666666668,-0.19430555555555573,-0.24416666666666653,-0.14250000000000007,-1.1620769999076748,1.0322342348144979e-10,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-conformist,120,30,0.6952777777777777,0.7727777777777779,-0.07750000000000024,-0.11556250000000018,-0.03846874999999997,-0.723994690225105,0.0004883298732928361,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cost-averse,120,30,0.7551388888888888,0.8072222222222224,-0.05208333333333359,-0.07972222222222225,-0.023885416666666572,-0.5654265882470713,0.0005509564690387422,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-defiant,120,30,0.6606944444444445,0.7527777777777779,-0.0920833333333334,-0.13763888888888876,-0.044576388888888964,-0.7009553183412904,0.0003877469791888503,,
cumulative_fpr,timing,late entry,early entry,surrogate-cautious,60,60,0.6441666666666667,0.5005555555555555,0.14361111111111113,0.08694444444444449,0.20195138888888894,0.8761729738549124,4.314770689216522e-06,,
cumulative_fpr,timing,late entry,early entry,surrogate-conformist,60,60,0.7311111111111112,0.6594444444444444,0.07166666666666677,0.03472222222222232,0.10722222222222233,0.6956216438595009,0.0002115950184771251,,
cumulative_fpr,timing,late entry,early entry,surrogate-cost-averse,60,60,0.7844444444444445,0.7258333333333334,0.05861111111111106,0.025277777777777732,0.09111805555555548,0.6236306767628188,0.0008422945222928733,,
cumulative_fpr,timing,late entry,early entry,surrogate-defiant,60,60,0.6905555555555556,0.6308333333333334,0.05972222222222223,0.012215277777777802,0.10583333333333322,0.4511877059400643,0.014316720327903607,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cautious,60,60,0.5769444444444444,0.5677777777777778,0.009166666666666545,-0.05195138888888901,0.07166666666666677,0.05111971256722749,0.7786033627789856,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-conformist,60,60,0.6994444444444443,0.691111111111111,0.008333333333333304,-0.031111111111111204,0.046388888888888924,0.07633086384809772,0.6746953090479603,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,60,60,0.7458333333333333,0.7644444444444446,-0.018611111111111245,-0.0536180555555556,0.016388888888888897,-0.18966905741085033,0.2979199363122169,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-defiant,60,60,0.648611111111111,0.6727777777777779,-0.02416666666666689,-0.07055555555555582,0.023888888888888633,-0.17869880277275987,0.326633437427046,,
cumulative_epc,intervention,any intervention,no intervention,all models,480,120,0.1176736111111111,0.03222222222222222,0.08545138888888888,0.06947916666666668,0.09968836805555556,0.7898707198723386,7.048569220233322e-24,2.1145707660699968e-23,True
cumulative_epc,timing,late entry,early entry,all models,240,240,0.0892361111111111,0.1461111111111111,-0.05687500000000001,-0.07687673611111114,-0.036944444444444446,-0.5020382052690934,6.320003863757024e-08,1.2640007727514048e-07,True
cumulative_epc,tone,aggressive debunking,empathetic nudge,all models,240,240,0.11763888888888886,0.11770833333333333,-6.944444444446918e-05,-0.02055729166666667,0.02111111111111111,-0.000594414749630077,0.9947991738574405,0.9947991738574405,False
cumulative_epc,intervention,any intervention,no intervention,surrogate-cautious,120,30,0.1947222222222222,0.03833333333333333,0.15638888888888888,0.11888888888888892,0.19069444444444442,1.245114310046551,4.2153532907008446e-13,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-conformist,120,30,0.10569444444444447,0.02888888888888889,0.07680555555555557,0.05388888888888891,0.09930555555555556,0.9221292347919957,7.287165061685371e-09,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-cost-averse,120,30,0.020972222222222222,0.002777777777777778,0.018194444444444444,0.011805555555555555,0.024447916666666618,0.6877085348456569,7.57591038052448e-08,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-defiant,120,30,0.14930555555555552,0.05888888888888889,0.09041666666666663,0.05346874999999998,0.12277777777777776,0.8845746013745326,5.963702622532032e-06,,
cumulative_epc,timing,late entry,early entry,surrogate-cautious,60,60,0.15111111111111114,0.23833333333333334,-0.0872222222222222,-0.13305555555555562,-0.043888888888888894,-0.6784293512037182,0.0003012987361982965,,
cumulative_epc,timing,late entry,early entry,surrogate-conformist,60,60,0.07388888888888888,0.1375,-0.06361111111111113,-0.09361805555555557,-0.03416666666666668,-0.7543928709684752,6.873436145463922e-05,,
cumulative_epc,timing,late entry,early entry,surrogate-cost-averse,60,60,0.014166666666666668,0.02777777777777778,-0.013611111111111112,-0.023333333333333338,-0.00361111111111111,-0.4787641317251778,0.009666663195575626,,
cumulative_epc,timing,late entry,early entry,surrogate-defiant,60,60,0.11777777777777777,0.18083333333333335,-0.06305555555555557,-0.0980625,-0.026944444444444438,-0.618909432018828,0.0009054712200666283,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-cautious,60,60,0.19194444444444445,0.19749999999999998,-0.005555555555555536,-0.05416666666666664,0.04222222222222222,-0.04086731440416744,0.8221572914139434,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-conformist,60,60,0.09777777777777777,0.1136111111111111,-0.015833333333333324,-0.046944444444444455,0.015833333333333352,-0.17606254200712396,0.3337886365513383,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,60,60,0.024166666666666666,0.01777777777777778,0.006388888888888885,-0.0038888888888888896,0.016666666666666663,0.21972697462532917,0.2284725392538742,,
cumulative_epc,tone,aggressive debunking,empathetic nudge,surrogate-defiant,60,60,0.15666666666666668,0.14194444444444448,0.014722222222222192,-0.02305555555555558,0.05055555555555556,0.1382022857925296,0.44770954092694404,,
