backbone,timing,tone,n,fpr_mean,fpr_sd,epc_mean,epc_sd,welfare_mean,half_life_mean,reach_mean
surrogate-cautious,early,aggressive_debunking,200,0.5169166666666667,0.16498716174273026,0.23841666666666664,0.12987772349307314,-134.225,10.56,2.125
surrogate-cautious,early,empathetic_nudge,200,0.501,0.1770519801783988,0.24016666666666667,0.14094866824430682,-123.245,10.265,2.195
surrogate-cautious,late,aggressive_debunking,200,0.665,0.11497335403679468,0.13091666666666668,0.07606305056020858,-72.43,6.905,2.215
surrogate-cautious,late,empathetic_nudge,200,0.6656666666666666,0.12401077023164161,0.13133333333333333,0.09179882357053144,-67.04,6.895,2.17
surrogate-cautious,none,none,200,0.7819166666666666,0.09314556219466705,0.033,0.05797533120626144,47.215,,2.145
surrogate-conformist,early,aggressive_debunking,200,0.66525,0.12640917030075421,0.14408333333333334,0.10557991064641496,-127.055,10.995,2.175
surrogate-conformist,early,empathetic_nudge,200,0.6735,0.1158946700213754,0.13008333333333333,0.09699127471161646,-119.995,10.99,2.195
surrogate-conformist,late,aggressive_debunking,200,0.7259166666666667,0.09148104397652648,0.085,0.06247277463975231,-60.735,7.0,2.17
surrogate-conformist,late,empathetic_nudge,200,0.7263333333333334,0.08979721555722862,0.07891666666666666,0.06135628576067051,-56.02,7.0,2.165
surrogate-conformist,none,none,200,0.77775,0.0719295653218655,0.016666666666666666,0.02810803120465968,58.26,,2.18
surrogate-cost-averse,early,aggressive_debunking,200,0.7273333333333334,0.12147934226621253,0.02341666666666667,0.02735795251121339,-55.97,11.0,2.18
surrogate-cost-averse,early,empathetic_nudge,200,0.7429166666666667,0.12007392916259942,0.021583333333333333,0.028147607856246593,-50.03,11.0,2.18
surrogate-cost-averse,late,aggressive_debunking,200,0.7886666666666667,0.08961671595687086,0.01675,0.022509846471334215,-17.2,7.0,2.165
surrogate-cost-averse,late,empathetic_nudge,200,0.79175,0.08280397192532996,0.015333333333333334,0.019865544694184698,-16.89,7.0,2.18
surrogate-cost-averse,none,none,200,0.8036666666666666,0.06198286897926856,0.0008333333333333333,0.003641531022162423,71.94,,2.2
surrogate-defiant,early,aggressive_debunking,200,0.6114999999999999,0.125462739246121,0.18666666666666668,0.10830917138104453,-143.445,10.995,2.2
surrogate-defiant,early,empathetic_nudge,200,0.6136666666666667,0.12833773840032703,0.184,0.10873158340885791,-134.015,11.0,2.175
surrogate-defiant,late,aggressive_debunking,200,0.67475,0.11177190096253821,0.12983333333333333,0.08345200929843695,-82.015,7.0,2.19
surrogate-defiant,late,empathetic_nudge,200,0.6813333333333333,0.10443220760609712,0.12425000000000001,0.07732615450708945,-80.96,6.995,2.175
surrogate-defiant,none,none,200,0.7324166666666666,0.10115466125758787,0.06875,0.07874180715671222,14.855,,2.195
