outcome,factor,level,reference,stratum,n_treat,n_control,mean_treat,mean_control,ate,ci_low,ci_high,cohens_d,p_value,p_holm,significant
cumulative_fpr,intervention,any intervention,no intervention,all models,3200,800,0.6739010416666666,0.7725833333333333,-0.09868229166666664,-0.1068076822916668,-0.09066653645833335,-0.7260609946703077,2.1326489101974544e-112,6.397946730592363e-112,True
cumulative_fpr,timing,late entry,early entry,all models,1600,1600,0.71428125,0.6335208333333333,0.08076041666666667,0.07118750000000007,0.09030208333333323,0.5795399169912012,7.12507226487502e-58,1.425014452975004e-57,True
cumulative_fpr,tone,aggressive debunking,empathetic nudge,all models,1600,1600,0.6695625,0.6782395833333332,-0.00867708333333328,-0.018427343750000092,0.001490104166666701,-0.0598310546168819,0.09061484255535089,0.09061484255535089,False
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cautious,800,200,0.5893958333333333,0.7826666666666666,-0.19327083333333328,-0.2107718749999998,-0.1756244791666666,-1.239897035049369,6.775285624293677e-74,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-conformist,800,200,0.7009583333333333,0.7782499999999999,-0.07729166666666654,-0.0900005208333333,-0.06470729166666661,-0.7308756718450155,1.8677582959827392e-28,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cost-averse,800,200,0.7616250000000001,0.8005,-0.03887499999999988,-0.05012499999999987,-0.027708333333333446,-0.38357452897978,6.299554675590391e-11,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-defiant,800,200,0.643625,0.7289166666666665,-0.08529166666666654,-0.1024583333333331,-0.0683322916666666,-0.7075162106621649,5.68924581549828e-20,,
cumulative_fpr,timing,late entry,early entry,surrogate-cautious,400,400,0.66425,0.5145416666666667,0.14970833333333333,0.12853854166666667,0.1703760416666668,0.9992832668368636,2.476494164248917e-40,,
cumulative_fpr,timing,late entry,early entry,surrogate-conformist,400,400,0.7275416666666666,0.674375,0.053166666666666695,0.03808125000000003,0.0681666666666666,0.48650861717548766,1.214236599614028e-11,,
cumulative_fpr,timing,late entry,early entry,surrogate-cost-averse,400,400,0.7908333333333334,0.7324166666666667,0.05841666666666667,0.04412500000000019,0.07279166666666648,0.5560441582281007,1.2756030209773391e-14,,
cumulative_fpr,timing,late entry,early entry,surrogate-defiant,400,400,0.6744999999999999,0.61275,0.06174999999999986,0.044791666666666674,0.07829166666666665,0.5154893895598268,7.234469133517151e-13,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cautious,400,400,0.590375,0.5884166666666667,0.001958333333333284,-0.02045937500000002,0.024917708333333344,0.011688355608528416,0.8686288517693691,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-conformist,400,400,0.69825,0.7036666666666668,-0.005416666666666736,-0.02124999999999999,0.009874999999999967,-0.04816959727860522,0.49552470355796335,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,400,400,0.7528750000000001,0.7703749999999999,-0.01749999999999985,-0.03220833333333317,-0.0021239583333332824,-0.1609841156671237,0.02294238593824586,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-defiant,400,400,0.6367499999999999,0.6505,-0.01375000000000004,-0.030876041666666538,0.003793749999999835,-0.11130992813163659,0.11550504335113397,,
cumulative_epc,intervention,any intervention,no intervention,all models,3200,800,0.11682291666666668,0.030166666666666665,0.08665625000000002,0.08100507812499999,0.09231276041666665,0.8347184029222646,1.3711609911961628e-169,4.113482973588488e-169,True
cumulative_epc,timing,late entry,early entry,all models,1600,1600,0.08967708333333334,0.14396875,-0.05429166666666667,-0.061770833333333316,-0.04690598958333335,-0.49830513440679175,1.2357318336911434e-43,2.4714636673822867e-43,True
cumulative_epc,tone,aggressive debunking,empathetic nudge,all models,1600,1600,0.11992708333333332,0.11371875,0.00620833333333333,-0.001624999999999988,0.013906249999999995,0.055311000491685254,0.11772913983110123,0.11772913983110123,False
cumulative_epc,intervention,any intervention,no intervention,surrogate-cautious,800,200,0.18370833333333333,0.032,0.15170833333333333,0.14012395833333333,0.16306406249999997,1.3140757804040102,3.0182053619765165e-99,,
