backbone,timing,tone,n,fpr_mean,fpr_sd,epc_mean,epc_sd,welfare_mean,half_life_mean,reach_mean
surrogate-cautious,early,aggressive_debunking,30,0.5588888888888889,0.20127625995749637,0.13944444444444445,0.11171626393267613,-95.33333333333333,10.8,2.2666666666666666
surrogate-cautious,early,empathetic_nudge,30,0.5105555555555555,0.15983009017920316,0.21555555555555556,0.12902027917864653,-116.16666666666667,10.666666666666666,2.1333333333333333
surrogate-cautious,late,aggressive_debunking,30,0.6783333333333333,0.12027666064447183,0.09777777777777778,0.07134897955668555,-54.833333333333336,6.866666666666666,2.2666666666666666
surrogate-cautious,late,empathetic_nudge,30,0.6583333333333333,0.12967318188282748,0.14333333333333334,0.09555243690892304,-75.06666666666666,6.866666666666666,2.1666666666666665
surrogate-cautious,none,none,30,0.775,0.09220063912146237,0.03333333333333333,0.05920934999167599,44.8,,2.2
surrogate-conformist,early,aggressive_debunking,30,0.6538888888888889,0.13259012212571833,0.12333333333333332,0.09575271471597516,-106.86666666666666,11.0,2.2
surrogate-conformist,early,empathetic_nudge,30,0.6527777777777778,0.12082755303917853,0.14,0.09812416873748005,-124.96666666666667,11.0,2.1666666666666665
surrogate-conformist,late,aggressive_debunking,30,0.745,0.09244963421182575,0.058333333333333334,0.055146964916154735,-40.5,7.0,2.1
surrogate-conformist,late,empathetic_nudge,30,0.7322222222222222,0.09578605363788507,0.08277777777777778,0.073563293223142,-55.6,7.0,2.2666666666666666
surrogate-conformist,none,none,30,0.7788888888888889,0.09447711853102807,0.02333333333333333,0.047262209799117355,53.56666666666667,,2.1333333333333333
surrogate-cost-averse,early,aggressive_debunking,30,0.7711111111111111,0.08926405502662123,0.012222222222222221,0.019541356740102097,-48.63333333333333,11.0,2.1333333333333333
surrogate-cost-averse,early,empathetic_nudge,30,0.7572222222222222,0.10556210909278713,0.01888888888888889,0.02504147262469367,-24.0,11.0,2.1
surrogate-cost-averse,late,aggressive_debunking,30,0.7872222222222223,0.06929908157786162,0.01388888888888889,0.01809052022730436,-11.666666666666666,7.0,2.2333333333333334
surrogate-cost-averse,late,empathetic_nudge,30,0.7866666666666667,0.07509891306333948,0.015000000000000001,0.01925330244847397,-1.6666666666666667,7.0,2.2
surrogate-cost-averse,none,none,30,0.8061111111111111,0.06424977202776219,0.002777777777777778,0.009868224998612665,70.76666666666667,,2.2
surrogate-defiant,early,aggressive_debunking,30,0.6283333333333334,0.13993361863584133,0.16222222222222224,0.09558584568478007,-136.26666666666668,10.966666666666667,2.1666666666666665
surrogate-defiant,early,empathetic_nudge,30,0.66,0.16315848018160875,0.14222222222222222,0.122688070762952,-102.93333333333334,11.0,2.1333333333333333
surrogate-defiant,late,aggressive_debunking,30,0.6794444444444444,0.11121786059785649,0.11388888888888889,0.07657457404078366,-69.23333333333333,7.0,2.4
surrogate-defiant,late,empathetic_nudge,30,0.7172222222222222,0.10955179790405185,0.09444444444444446,0.07354375939952744,-61.8,7.0,2.1666666666666665
surrogate-defiant,none,none,30,0.7588888888888888,0.10511199403450873,0.056666666666666664,0.07474093186836596,25.666666666666668,,2.2333333333333334
