backbone,timing,tone,n,fpr_mean,fpr_sd,epc_mean,epc_sd,welfare_mean,half_life_mean,reach_mean
surrogate-cautious,early,aggressive_debunking,200,0.5860833333333333,0.16929895768805017,0.13275,0.10808181729357043,-100.165,10.81,2.125
surrogate-cautious,early,empathetic_nudge,200,0.5110833333333333,0.18177176819267837,0.21425,0.1354665769381388,-115.135,10.475,2.195
surrogate-cautious,late,aggressive_debunking,200,0.6905,0.11565739563827787,0.08341666666666667,0.06502367176226853,-54.15,6.945,2.215
surrogate-cautious,late,empathetic_nudge,200,0.6765000000000001,0.12059305805258688,0.11483333333333333,0.08237794043184991,-61.16,6.915,2.17
surrogate-cautious,none,none,200,0.779,0.11172521528177921,0.03558333333333333,0.07166515716535794,47.47,,2.145
surrogate-conformist,early,aggressive_debunking,200,0.69025,0.12973879074771336,0.11533333333333333,0.0961335150089934,-112.985,11.0,2.175
surrogate-conformist,early,empathetic_nudge,200,0.6730833333333334,0.11734877767815573,0.12666666666666665,0.09726867359640985,-117.785,10.99,2.195
surrogate-conformist,late,aggressive_debunking,200,0.7396666666666667,0.0926614967888929,0.06858333333333333,0.05886459445353099,-51.96,7.0,2.17
surrogate-conformist,late,empathetic_nudge,200,0.72875,0.08985280941082098,0.07558333333333334,0.05833339315622681,-54.96,7.0,2.165
surrogate-conformist,none,none,200,0.7804166666666668,0.07310680521874077,0.01575,0.026534297727480262,59.45,,2.18
surrogate-cost-averse,early,aggressive_debunking,200,0.73575,0.12274086383036689,0.017333333333333333,0.022029876672827485,-51.82,10.995,2.18
surrogate-cost-averse,early,empathetic_nudge,200,0.7506666666666666,0.12282547436272663,0.019083333333333334,0.02721984344487667,-49.54,11.0,2.18
surrogate-cost-averse,late,aggressive_debunking,200,0.7916666666666667,0.08765191805166117,0.01225,0.017562006285395924,-15.05,7.0,2.165
surrogate-cost-averse,late,empathetic_nudge,200,0.794,0.08565509375713647,0.014416666666666666,0.020027723666030575,-16.38,7.0,2.18
surrogate-cost-averse,none,none,200,0.8086666666666666,0.06573808919296789,0.00075,0.0034637389389481884,72.355,,2.2
surrogate-defiant,early,aggressive_debunking,200,0.6370833333333333,0.13289750272731155,0.14791666666666667,0.09873484306496977,-125.51,11.0,2.2
surrogate-defiant,early,empathetic_nudge,200,0.6153333333333333,0.13605226111845364,0.17800000000000002,0.11363935430814093,-130.105,11.0,2.175
surrogate-defiant,late,aggressive_debunking,200,0.6807500000000001,0.11791149123598658,0.11608333333333333,0.08464425342026625,-74.56,7.0,2.19
surrogate-defiant,late,empathetic_nudge,200,0.68125,0.10847577930441761,0.12325,0.0836909829393165,-79.225,6.995,2.175
surrogate-defiant,none,none,200,0.7339166666666667,0.10263661892516047,0.06625,0.07964952367716262,16.35,,2.195
