outcome,factor,level,reference,stratum,n_treat,n_control,mean_treat,mean_control,ate,ci_low,ci_high,cohens_d,p_value,p_holm,significant
cumulative_fpr,intervention,any intervention,no intervention,all models,3200,800,0.688203125,0.7750208333333333,-0.08681770833333324,-0.09474049479166655,-0.079218359375,-0.6724396854294171,1.5931940405888073e-96,4.779582121766422e-96,True
cumulative_fpr,timing,late entry,early entry,all models,1600,1600,0.7248958333333334,0.6515104166666668,0.07338541666666665,0.06435416666666671,0.08265651041666665,0.553363492243443,4.0806938508351356e-53,8.161387701670271e-53,True
cumulative_fpr,tone,aggressive debunking,empathetic nudge,all models,1600,1600,0.69453125,0.681875,0.012656250000000036,0.0035101562500000683,0.02236484375000002,0.0920728188747481,0.009234858936597852,0.009234858936597852,True
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cautious,800,200,0.6149166666666667,0.77725,-0.16233333333333333,-0.17937656249999984,-0.14514479166666666,-1.0942658884315764,2.945429189331513e-57,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-conformist,800,200,0.7104375,0.7805833333333334,-0.07014583333333335,-0.08252135416666682,-0.05772916666666672,-0.6780580985385833,1.9554306104138907e-25,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-cost-averse,800,200,0.7670208333333334,0.8044999999999999,-0.03747916666666651,-0.048771354166666656,-0.026374479166666714,-0.3779333516808576,1.1266057993925346e-10,,
cumulative_fpr,intervention,any intervention,no intervention,surrogate-defiant,800,200,0.6604375,0.73775,-0.0773125,-0.09435572916666674,-0.06076875000000014,-0.6646025797192823,1.0159278393607908e-18,,
cumulative_fpr,timing,late entry,early entry,surrogate-cautious,400,400,0.67975,0.5500833333333334,0.1296666666666666,0.11016354166666664,0.14916979166666672,0.8963636975967202,1.8580144232871886e-33,,
cumulative_fpr,timing,late entry,early entry,surrogate-conformist,400,400,0.7382916666666668,0.6825833333333332,0.05570833333333358,0.041457291666666715,0.07058333333333333,0.5227454313155889,3.738814787911334e-13,,
cumulative_fpr,timing,late entry,early entry,surrogate-cost-averse,400,400,0.7937083333333333,0.7403333333333333,0.05337500000000006,0.03904166666666675,0.0677520833333334,0.516600019503929,7.074979453182858e-13,,
cumulative_fpr,timing,late entry,early entry,surrogate-defiant,400,400,0.6878333333333333,0.6330416666666667,0.05479166666666657,0.03820729166666662,0.07104166666666656,0.46885541978020123,5.982916765836111e-11,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cautious,400,400,0.6357916666666668,0.5940416666666667,0.041750000000000065,0.02066354166666661,0.06262499999999993,0.2655938176812328,0.00018277724608430662,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-conformist,400,400,0.7139583333333335,0.7069166666666666,0.007041666666666835,-0.008458333333333349,0.022375000000000034,0.06395251427962872,0.36559633094099225,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-cost-averse,400,400,0.765,0.7690416666666667,-0.004041666666666721,-0.018543750000000005,0.010624999999999996,-0.03787656357820611,0.5919977388122015,,
cumulative_fpr,tone,aggressive debunking,empathetic nudge,surrogate-defiant,400,400,0.663375,0.6575,0.005875000000000075,-0.010542708333333444,0.02266770833333337,0.048954880159884646,0.48852556584019524,,
cumulative_epc,intervention,any intervention,no intervention,all models,3200,800,0.09655729166666667,0.029083333333333333,0.06747395833333333,0.062249609375,0.07254192708333333,0.7492077548933233,7.693713723027895e-128,2.3081141169083683e-127,True
cumulative_epc,timing,late entry,early entry,all models,1600,1600,0.0755625,0.11755208333333333,-0.04198958333333333,-0.04847942708333335,-0.03536432291666668,-0.4447353584137153,2.3616003105723002e-35,4.7232006211446003e-35,True
cumulative_epc,tone,aggressive debunking,empathetic nudge,all models,1600,1600,0.08662500000000001,0.10648958333333333,-0.019864583333333324,-0.02667760416666667,-0.01351015625,-0.20646786681778329,5.71935334939463e-09,5.71935334939463e-09,True
cumulative_epc,intervention,any intervention,no intervention,surrogate-cautious,800,200,0.1375,0.035250000000000004,0.10225000000000001,0.09079166666666669,0.11354218749999997,1.011005761264855,3.909997978045748e-55,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-conformist,800,200,0.0960625,0.014416666666666666,0.08164583333333333,0.07497916666666667,0.08847968750000001,1.077231805992413,5.095076098949946e-97,,
cumulative_epc,intervention,any intervention,no intervention,surrogate-cost-averse,800,200,0.016354166666666666,0.0007500000000000001,0.015604166666666665,0.014020833333333333,0.01720833333333333,0.7889566351113523,4.473271186107079e-68,,
